t H V T P
0.0 884.4215174870251 -669.2375485787886 1553.6590660658137 997.1337768573212 0.0
0.1 884.4376289936358 -93.00341026710235 977.4410392607382 627.3187576482876 0.0
0.2 884.4228418455891 -247.38049405236777 1131.803335897957 726.3880214347096 0.0
0.3 884.4314794328513 -258.31459120885415 1142.7460706417055 733.4110361118046 0.0
0.4 884.426934536617 -343.41818901233074 1227.8451235489476 788.0273556671946 0.0
0.5 884.4294764588922 -285.99541173930294 1170.424888198195 751.1752190602133 0.0
0.6 884.4295561466788 -263.342980547058 1147.7725366937368 736.6370071038823 0.0
0.7000000000000001 884.4297851320789 -224.03757395075678 1108.4673590828356 711.4110607832077 0.0
0.8 884.429800402562 -184.37172932675293 1068.801529729315 685.9536492446465 6.817968875504533
0.9 884.4293204786966 -168.59471721549033 1053.024037694187 675.8277016890089 0.61012337476965
1.0 884.4296697484114 -148.70172750735887 1033.1313972557703 663.0606641031818 0.0
1.1 884.4297583716329 -133.86426151458062 1018.2940198862136 653.5380793493548 0.0
1.2 884.4296800444727 -124.16588952302533 1008.595569567498 647.3136427228226 0.0
1.3 884.4297853033231 -101.1798739137084 985.6096592170315 632.5613536892299 6.0043750771269835
1.4000000000000001 884.429449106668 -95.43081150488275 979.8602606115508 628.8714067302371 3.6995633767865277
1.5 884.4286505732114 -79.14639001920347 963.5750405924148 618.4196008615577 10.942163690029684
1.6 884.4274535455023 -34.284600544230784 918.7120540897331 589.6266692914452 32.761748849596486
1.7 884.4281756121022 -18.641870649280968 903.0700462613831 579.5876750975583 36.50362525957152
1.8 884.4293412563748 -50.85207917463759 935.2814204310123 600.2608394262413 21.051935325379528
1.9000000000000001 884.4283380118935 -7.254542832954407 891.6828808448479 572.2794261338775 40.23844962406938
2.0 884.4269702476176 -6.361453801599936 890.7884240492176 571.7053664174681 37.83290885602721
2.1 884.4313142850278 13.445814128989895 870.9855001560379 558.9959086440676 47.330984268108026
2.2 884.4271496183595 -2.606463834365236 887.0336134527248 569.2955401220856 47.71695786987715
2.3000000000000003 884.4278373512623 1.2280316500152324 883.199805701247 566.835013687122 30.774993514948566
2.4 884.4269212901727 -48.69353937050257 933.1204606606752 598.8739418600402 19.108777434129905
2.5 884.4250078617958 -29.501654196152167 913.926662057948 586.5554188899786 28.78304615480226
2.6 884.4295290724264 8.291393566792685 876.1381355056337 562.3028547168126 43.924378253902916
2.7 884.4285088078447 -48.88847532219036 933.316984130035 599.0000700393325 15.679557234282797
2.8000000000000003 884.4291561153789 -41.966521948380745 926.3956780637596 594.5579963505877 8.327356713699862
