t H V T P
0.0 -669.2931788751569 -669.2932036253563 2.4750199478244952E-5 1.5884604558841525E-5 0.0
0.1 -669.2931825987793 -670.2416940905692 0.9485114917899905 0.6087518599534636 0.0
0.2 -669.2931916528005 -672.5049030719298 3.2117114191293235 2.061266855437993 0.0
0.3 -669.2932004263058 -674.741997735385 5.4487973090791835 3.4970219392405504 0.0
0.4 -669.293203904447 -675.6986269932354 6.40542308878842 4.1109815250948545 0.0
0.5 -669.2932006184801 -674.9533881033968 5.660187484916716 3.632691526621237 0.0
0.6 -669.2931911061157 -673.1617155503845 3.868524444268803 2.4828075053470053 0.0
0.7000000000000001 -669.2931844806465 -671.7926187576151 2.499434276968573 1.604129499859493 0.0
0.8 -669.2931859999297 -671.8575334345126 2.564347434582879 1.6457905717338974 0.0
0.9 -669.293191956161 -673.170117340611 3.876925384450048 2.488199203818723 0.0
1.0 -669.293200167219 -674.7475535001302 5.454353332911128 3.500587778843885 0.0
1.1 -669.2932015303113 -675.3334949245811 6.040293394269856 3.8766423709714273 0.0
1.2 -669.2931952908465 -674.6031856820626 5.309990391216131 3.407936071378182 0.0
1.3 -669.2931901672977 -673.3202448566358 4.027054689338102 2.584551746065368 0.0
1.4000000000000001 -669.2931885838282 -672.2150064811382 2.921817897309969 1.8752140536285398 0.0
1.5 -669.2931884743195 -671.5456938644455 2.252505390125925 1.4456512732456799 0.0
1.6 -669.2931886578721 -671.3454639254512 2.0522752675791263 1.317144174940474 0.0
1.7 -669.2931901180805 -671.58308685489 2.289896736809552 1.4696489285580758 0.0
1.8 -669.2931919796852 -672.0685793150209 2.775387335335772 1.7812353536049879 0.0
1.9000000000000001 -669.2931928253038 -672.567721035014 3.2745282097102346 2.1015824851730347 0.0
2.0 -669.2931934756065 -672.9781413316351 3.684947856028658 2.364988595926936 0.0
2.1 -669.2931930278255 -673.2731868581634 3.979993830337901 2.5543482264503172 0.0
2.2 -669.2931928195657 -673.5609158504974 4.267723030931707 2.7390119733215923 0.0
2.3000000000000003 -669.2931947228102 -673.8913981689284 4.598203446118243 2.95111332281957 0.0
2.4 -669.2931962560938 -674.0259442803617 4.732748024268 3.0374636337058964 0.0
2.5 -669.2931941381888 -673.8113906171081 4.518196478919346 2.8997650887569004 0.0
2.6 -669.2931935646214 -673.4945079456594 4.201314381037974 2.696391098941339 0.0
2.7 -669.2931907907151 -673.241432346069 3.9482415553539445 2.5339697106162498 0.0
2.8000000000000003 -669.2931926341159 -673.3213256760631 4.028133041947217 2.585243829569012 0.0
2.9 -669.29319486404 -673.4618232897465 4.168628425706472 2.6754133498316706 0.0
3.0 -669.2931911022886 -673.3513789841553 4.0581878818667665 2.6045329366172587 0.0
3.1 -669.2931907390245 -673.3966264424474 4.103435703422937 2.63357285418239 0.0
3.2 -669.2931971277461 -673.5936634221397 4.300466294393521 2.7600265026191866 0.0
3.3000000000000003 -669.2932009895826 -673.0952877490555 3.8020867594729197 2.440167996452736 0.0
3.4 -669.2931910451083 -671.5837566499761 2.2905656048677967 1.4700782060924487 0.0
3.5 -669.2931837854535 -670.5256475787077 1.2324637932541536 0.7909916041743463 0.0
3.6 -669.293189364401 -670.9528301869334 1.6596408225324513 1.0651525535707669 0.0
3.7 -669.2931935853234 -672.1668365856467 2.873643000323388 1.8442955477406417 0.0
3.8000000000000003 -669.2931963701888 -673.414701557555 4.121505187366243 2.645169795341351 0.0
3.9 -669.2931965578035 -674.2512284364441 4.95803187864059 3.18205014272962 0.0
4.0 -669.2931988321374 -674.5758189954875 5.282620163350105 3.3903699403771226 0.0
4.1 -669.2931993559592 -674.1716036103862 4.878404254426934 3.1309453698688707 0.0
4.2 -669.2931960465421 -673.0894592494889 3.7962632029467533 2.436430455160371 0.0
4.3 -669.2931850590014 -672.13766711985 2.8444820608486237 1.8255801433444834 0.0
4.4 -669.2931917175003 -672.7135374562905 3.4203457387901692 2.1951677425047214 0.0
4.5 -669.2931999562428 -674.0238761467214 4.730676190478553 3.0361339369296765 0.0
4.6000000000000005 -669.2932006560602 -674.730299788901 5.437099132840781 3.4895140844545725 0.0
4.7 -669.2931993041573 -674.610759816192 5.317560512034693 3.4127945524490606 0.0
4.8 -669.2931972240671 -673.8785305999652 4.585333375898094 2.942853349954653 0.0
4.9 -669.2931987639938 -672.8170001808703 3.523801416876462 2.2615652896118488 0.0
5.0 -669.2931913679172 -671.4759107955174 2.182719427600255 1.4008628496431637 0.0
5.1000000000000005 -669.293185597375 -671.0148346210462 1.7216490236712239 1.1049492330019888 0.0
5.2 -669.2932030934692 -671.94089617312 2.6476930796508054 1.6992815593426747 0.0
5.3 -669.2931965902828 -672.2660078734498 2.972811283166988 1.9079414573073328 0.0
5.4 -669.2931931244913 -672.4696623678 3.1764692433086616 2.03864853160604 0.0
5.5 -669.2931967727806 -673.0871103168464 3.793913544065861 2.434922451065133 0.0
5.6000000000000005 -669.2931995771679 -673.6520278530438 4.358828275875901 2.7974830490980507 0.0
5.7 -669.2932012988246 -673.7731630251842 4.479961726359663 2.8752261380567434 0.0
