t       H       V      T     P
6.0 -669.2931982289527 -673.4712275281121 4.17802929915928 2.681446802508964 0.0
6.1000000000000005 -669.2931942138783 -673.4766399969598 4.1834457830814 2.68492308581237 0.0
6.2 -669.2932019867004 -673.9399852756387 4.646783288938331 2.9822917217414076 0.0
6.3 -669.2932034501712 -673.9353046447974 4.642101194626218 2.9792867675098065 0.0
6.4 -669.2931952941498 -673.4589051167134 4.165709822563655 2.6735401989979333 0.0
6.5 -669.2932038239007 -673.358830089259 4.065626265358267 2.609306869062666 0.0
6.6000000000000005 -669.2931957118922 -672.9602633120464 3.6670676001542404 2.3535131007809 0.0
6.7 -669.2931995758179 -672.8153590453809 3.522159469562986 2.2605114926998704 0.0
6.8 -669.2931986598452 -672.4391711892216 3.1459725293764302 2.0190758311280734 0.0
6.9 -669.293192836069 -671.7804352073384 2.4872423712693656 1.596304770971113 0.0
7.0 -669.2931918054165 -671.5258857162105 2.2326939107940063 1.4329363246170919 0.0
7.1000000000000005 -669.2931954174252 -671.8282380718215 2.535042654396261 1.626982850795835 0.0
7.2 -669.2931969073451 -672.2151717838948 2.921974876549765 1.8753148024386777 0.0
7.3 -669.293189457912 -672.6675576202558 3.374368162343803 2.165659470417202 0.0
7.4 -669.2931988472385 -674.0700387759737 4.776839928735209 3.065761687114454 0.0
7.5 -669.2932170820592 -675.1325637489654 5.839346666906167 3.7476753578218474 0.0
7.6000000000000005 -669.2931989426586 -673.8789026674492 4.585703724790628 2.94309103877457 0.0
7.7 -669.293187398615 -672.8289961640832 3.5358087654681434 2.2692715702964414 0.0
7.8 -669.2932114115489 -673.3549880085311 4.061776596982172 2.606836163325902 0.0
7.9 -669.2931971301072 -672.9208951172762 3.6276979871690544 2.3282458000282737 0.0
8.0 -669.2931889270479 -673.0179568754608 3.7247679484127785 2.390545013020636 0.0
8.1 -669.2932099786145 -674.5580952819963 5.264885303381799 3.378987759892049 0.0
8.2 -669.2932105418182 -674.8331993324593 5.539988790641163 3.5555483614223267 0.0
8.3 -669.2931954178404 -673.548313994333 4.255118576492569 2.7309224718764975 0.0
8.4 -669.2931984627802 -672.5104377987351 3.2172393359548934 2.0648146560480662 0.0
8.5 -669.2931969177391 -671.5483178133801 2.2551208956410105 1.447329896921627 0.0
8.6 -669.2931876322375 -670.8524177435014 1.5592301112639453 1.0007092571288858 0.0
8.700000000000001 -669.2931941327588 -671.4886252606668 2.1954311279080416 1.4090211811684181 0.0
8.8 -669.2932064533038 -672.5150331023306 3.2218266490267995 2.0677587799610424 0.0
8.9 -669.2931924210855 -672.5536846434014 3.2604922223159924 2.0925742301265893 0.0
9.0 -669.2931931517173 -673.2925674017457 3.9993742500284113 2.5667865222805686 0.0
9.1 -669.2932151958643 -674.5373024637172 5.24408726785297 3.36563964242469 0.0
9.200000000000001 -669.2931995788497 -673.9302214263998 4.637021847550165 2.976026857633479 0.0
9.3 -669.2931962479245 -673.2508959587833 3.957699710858811 2.5400399267445235 0.0
