t H V T P
0.0 -351.5784933477033 -669.2465517847188 317.66805843701553 203.8784169671981 0.0
0.1 -351.5768166625501 -549.5398263637237 197.96300970117366 127.05207201038019 0.0
0.2 -351.5780035313268 -516.7667390271956 165.18873549586885 106.0176401096631 0.0
0.3 -351.57734563913993 -522.8727773478142 171.29543170867433 109.93689961246646 0.0
0.4 -351.57723052666444 -512.0060897975749 160.42885927091044 102.96276567727904 0.0
0.5 -351.5769509364182 -502.69419877242314 151.11724783600494 96.98660109811787 0.0
0.6 -351.5768687297841 -491.11069489252685 139.53382616274274 89.55239545141932 0.0
0.7000000000000001 -351.5767460441672 -477.271500410337 125.6947543661698 80.67052025105161 0.0
0.8 -351.5768022225142 -466.65734150034467 115.08053927783047 73.8583485136497 0.0
0.9 -351.57656254402673 -449.0128261876936 97.43626364366683 62.53430478534574 0.0
1.0 -351.57668732085494 -441.10037786602936 89.52369054517439 57.456038857713196 0.0
1.1 -351.5767308970098 -437.1307186483573 85.55398775134752 54.90829538794866 0.0
1.2 -351.57665547660855 -434.14702801837734 82.57037254176878 52.99342000273968 0.0
1.3 -351.5767693534625 -434.93160128855243 83.3548319350899 53.496883712853524 0.0
1.4000000000000001 -351.5767132122736 -432.63525000767686 81.05853679540323 52.023128308321354 0.0
1.5 -351.5767205547601 -434.62373126274747 83.04701070798738 53.299324963008345 0.0
1.6 -351.5768314979337 -443.4575098465153 91.88067834858158 58.96874663366647 0.0
1.7 -351.57675298940677 -447.82707393585946 96.25032094645267 61.773170282520766 0.0
1.8 -351.5768394397868 -453.958352358249 102.38151291846218 65.70815109087023 0.0
1.9000000000000001 -351.57688001795225 -457.0801338747687 105.50325385681643 67.71167515880717 0.0
2.0 -351.5768153788267 -452.42839991454184 100.85158453571509 64.72624759612681 0.0
2.1 -351.57701056242763 -455.27374122329644 103.6967306608688 66.55225393397114 0.0
2.2 -351.57683246132734 -453.5563030316463 101.97947057031892 65.45012150521872 0.0
2.3000000000000003 -351.5770026754999 -453.4192412018712 101.84223852637129 65.36204638676054 0.0
2.4 -351.5769714865812 -453.96425866069575 102.38728717411456 65.71185699100813 0.0
2.5 -351.5768338660781 -458.7048423561151 107.12800849003699 68.75443785963064 0.0
2.6 -351.5771213204048 -464.84114393959806 113.2640226191933 72.69251351412325 0.0
2.7 -351.5767527103997 -455.3093160156433 103.73256330524354 66.57525121876841 0.0
2.8000000000000003 -351.57695349047134 -461.05183624850065 109.47488275802932 70.26065479857476 0.0
2.9 -351.57688373792365 -465.9266724391774 114.34978870125376 73.38935496269795 0.0
3.0 -351.5769333911459 -461.2056837499342 109.62875035878835 70.35940656801498 2.7182995889433945
3.1 -351.5770202479914 -456.15787323045623 104.58085298246479 67.1196810156212 2.0322435430764756
3.2 -351.57672942987307 -452.87354495677613 101.29681552690307 65.01199552468708 0.0
3.3000000000000003 -351.5768325405828 -457.5735412339373 105.99670869335448 68.02837300816974 0.0
3.4 -351.57689370278484 -458.1366429966197 106.55974929383486 68.38973079427828 0.0
3.5 -351.57669073999165 -450.91412502419877 99.3374342842071 63.75447045917824 0.0
3.6 -351.5769141253075 -454.2566292824342 102.67971515712668 65.89953640248804 0.0
3.7 -351.5767806344221 -450.8802160544489 99.3034354200268 63.73265008906653 0.0
3.8000000000000003 -351.5768391214555 -454.4044742485023 102.8276351270468 65.99447100011025 0.0
3.9 -351.5769607121508 -461.79067195417923 110.21371124202838 70.73483272653245 0.0
4.0 -351.5768350830116 -457.5185814876574 105.94174640464584 67.99309837442172 0.0
4.1 -351.576811890336 -456.2165408104487 104.63972892011267 67.1574674176415 0.0
4.2 -351.5769178175524 -464.9092959269615 113.33237810940906 72.73638386484336 0.0
4.3 -351.5768033480326 -461.516812714738 109.94000936670538 70.55917167538252 0.0
4.4 -351.57689121523003 -460.72884517776606 109.15195396253603 70.05340005618035 0.0
4.5 -351.5771281950819 -463.5099399360051 111.93281174092317 71.83814632389773 0.0
4.6000000000000005 -351.57675686669165 -451.4549975209934 99.87824065430176 64.10155838222335 0.0
4.7 -351.57699164794224 -459.0529801065433 107.47598845860105 68.97777037054217 0.0
4.8 -351.5767655206969 -458.88470535310574 107.30793983240883 68.86991726107264 0.0
4.9 -351.57688840611866 -461.839173318821 110.26228491270236 70.76600716418923 0.0
5.0 -351.5768530949762 -461.8138647418007 110.23701164682457 70.74978685716779 0.0
5.1000000000000005 -351.576761862735 -456.34864988259227 104.77188801985729 67.24228673556824 0.0
5.2 -351.57676803302263 -454.41430830685255 102.83754027382989 66.00082809391408 0.0
5.3 -351.5769105239043 -457.1243743112053 105.54746378730101 67.74004896096334 0.0
5.4 -351.5767050887822 -454.4186919462033 102.84198685742112 66.00368189806409 0.0
