t H V T P
0.0 115.64809935441144 -669.2508246425003 784.8989239969118 503.7457995968948 0.0
0.1 115.65919725285477 -346.72199511514935 462.3811923680041 296.75487677047994 0.0
0.2 115.64962130717493 -395.7715801571171 511.42120146429204 328.2286090424658 0.0
0.3 115.65153683983084 -394.55314000710666 510.2046768469375 327.4478471540714 0.0
0.4 115.65134463231783 -413.58133840777856 529.2326830400964 339.6599650477955 0.0
0.5 115.65219204428092 -393.7706980753772 509.4228901196581 326.9460987530898 0.0
0.6 115.65239295545683 -359.80773774359074 475.46013069904757 305.14890056898355 0.0
0.7000000000000001 115.65249913406916 -334.3256417332579 449.97814086732706 288.794635133463 0.0
0.8 115.65253148630694 -305.7691738816519 421.42170536795885 270.46719959435785 0.0
0.9 115.6527118564967 -277.78261311925155 393.43532497574824 252.50562373092544 2.845633105014222
1.0 115.65282910861185 -257.1481769145888 372.80100602320067 239.26257907626194 4.461637349002749
1.1 115.65295287395696 -245.38557909272095 361.0385319666779 231.71345814146997 0.0
1.2 115.65286161691114 -223.9211971925597 339.57405880947084 217.93762298241208 3.750163357854406
1.3 115.65276756297774 -211.60530454749582 327.25807211047356 210.03325927667774 2.8821481312676993
1.4000000000000001 115.65285715594894 -205.783010168344 321.43586732429293 206.29658552702313 0.0
1.5 115.6528108009554 -196.53018063108445 312.18299143203984 200.3581172447909 0.0
1.6 115.652820392465 -188.191380452825 303.84420084529 195.00630619834095 0.0
1.7 115.65283034666504 -183.93073762246058 299.5835679691256 192.27184466530323 0.0
1.8 115.65292876632543 -166.90726535693756 282.560194123263 181.34629386170107 6.982915960931265
1.9000000000000001 115.6521713916461 -171.20055238955894 286.85272378120504 184.1012266546041 1.1382149378934467
2.0 115.65262323257849 -163.96003772162345 279.61266095420194 179.4545758229936 1.982201387487903
2.1 115.65244866774171 -163.55192295438772 279.20437162212943 179.1925369415993 1.847838164795925
2.2 115.6527764028215 -149.72495355903575 265.37772996185726 170.3186393658129 0.0
2.3000000000000003 115.65273876702662 -146.45461667664233 262.10735544366895 168.21972270752917 1.3285537565258232
2.4 115.65251805424137 -149.5030464516216 265.15556450586297 170.17605423561199 1.2477547037719665
2.5 115.65268888408016 -139.95538818838793 255.6080770724681 164.04850514077373 0.0
2.6 115.65261171319037 -135.8423104336928 251.49492214688317 161.40869451865746 1.5106686103531315
2.7 115.65284001376068 -131.57143597329082 247.2242759870515 158.6678064898846 5.52816990317497
2.8000000000000003 115.65270260798292 -134.74903020559955 250.40173281358247 160.7070888494713 1.5897503732587188
2.9 115.65293893661222 -125.31931885478541 240.97225779139762 154.65527976985004 10.321137422984382
3.0 115.6531440082204 -121.15927143510613 236.81241544332653 151.98550529856493 6.090753961809953
3.1 115.65294830909727 -135.08457591590516 250.73752422500243 160.92259878058718 1.0294722930977027
3.2 115.65306868893822 -132.7212364657887 248.37430515472693 159.40589179605416 0.5928516460143559
3.3000000000000003 115.65299643148512 -131.05166462123236 246.70466105271748 158.33431916740793 3.0497184257313297
3.4 115.65289778883741 -132.27668085782128 247.92957864665868 159.12046764326269 1.7715140449472797
3.5 115.65326195539376 -127.74232086324471 243.39558281863847 156.21056257915023 0.0
3.6 115.65283246031791 -129.6319451130534 245.28477757337131 157.4230421650197 2.701061060299519
3.7 115.65287771418542 -122.3122580150941 237.96513572927952 152.72531775645695 9.320388644798548
3.8000000000000003 115.65285229800418 -121.20229616420067 236.85514846220485 152.01293122323614 9.633110329040793
3.9 115.65300586409488 -119.64278604876928 235.29579191286416 151.01214081852493 2.1598089870581827
4.0 115.65303664129031 -118.14691244574762 233.79994908703793 150.05211333303677 7.6283730462815935
4.1 115.65275396569477 -115.280858023026 230.93361198872077 148.21250669151752 12.108249066685737
4.2 115.65270906402745 -113.30615258408497 228.95886164811242 146.94511778458877 13.032280808033581
4.3 115.65298672191378 -107.65621505148013 223.3092017733939 143.31918284694353 11.339883508967874
4.4 115.6528585837088 -113.74444789065568 229.39730647436448 147.22651037263665 2.296268820520702
4.5 115.65271988579413 -114.2679074219016 229.92062730769572 147.5623761300895 0.6922370405551835
4.6000000000000005 115.65309201479252 -106.21969658313557 221.8727885979281 142.39729713465098 2.8940067420634197
